sentence1,sentence2,label
我申请提交已经36小时了。咋还是没电话打来确认。。。。。不会是把我的提交信息忽略了吧。。。。,你好，是这样，我最近身份证变更姓名了！银行卡也都变了。我打电话问了微粒贷客服，说我提供证件给你们，也可以把名字改过来，但是财付通的名字更换不了。我想问一下，我要是还清借款，还能再借么？我可以提供新名字的银行卡，但是绑定不了财付通,0
你好为什么我借钱输入身份证号出现输入错误次数过多无法借款,我借钱输入的信息明明是对的，为什么老是说信息错误呢？,1
一定要还清了贷款才可以再借是吗？,一次能借多少?多久还清,0
我想贷款但是理财里没有微粒贷,如何借款,0
借款 换卡 人呢,2:如何更改还款银行卡,1
为什么逾期没有自动扣款？,为什么还没有二次扣款,0
我想问问，如果我提前还了钱，可以马上再借吗？,提前还款额度会提升吗,0
可以再打个电话过来吗，刚才漏接了,你们客服电话号码多少,0
如何具备资格,具备什么资格可以,1
请问怎么验证启用账户？,开户成功可以借钱吗,0
我借3500，下月还清，利息是多少？,借500块钱，分五个月还，利息是多少,1
不好意思，错过了审核电话,刚有事没听到,1
后期借钱还需要身份验证吗,怎么补齐姓名和身份信息 为何总说填写不正确的哦,0
今天还款失败，下次是什么时候自动还款,怎么说微粒贷还没到账？,0
以前我是用的建设银行，现在换成农业银行的,你好我想更还银行卡,0
实时转出没到账啊,你们今天打电话给我我没有接到，请问有什么事吗？,0
为什么借款一定要输入期数？,为什么一定要选择分期,1
怎么我的齐鲁设有显示了，求解释,你好我想问一下，我之前存了齐鲁稳固21天，怎么我现在在我的手机app里看不到呢？,1
农行充值限额,农业银行单日转账限额,1
能否将本月还款日期推迟到30号？,还款日期可否推迟五天,1
取消借款在哪里,等待电话中可以取消了借款吗,1
我申请借款后一直未接到电话,申请借钱后一直没接到电话,1
为什么我按时还款，但是现在无法借钱了呢？,我说可以十号还吗，我现在无法还款,0
‍我怎么‍开‍不‍了‍户‍啊,我开了户，怎么借不了款,0
如何计算每月还款金额,每期还款额度怎么计算？,1
帮我取消借款,怎么样撤销贷款,0
你好如果我借一万元，借两天便还清，那利息怎么算,你好 请问我贷款700利息是多少,0
为什么提示我身份证号输入次数过多,为什么显示说身份信息输入多次错误？无法借款？我的身份证后四位并没有输入错误啊,1
我可以借款16000，我每天利息要还多少钱,我借27000一天要多少利息,1
逾期罚息怎么收费,逾期了一天怎么办,0
我要更改还款的银行号码，请问怎么操作？,如何改换银行卡，还款,1
2500的一天利息是多少,利息率？？,1
什么条件可以申请,借款资格,1
微粒代价绍,微粒代怎么代,0
我想把借款一次性还清，之后能不能给我寄一个结清证明？,出具还清证明,1
我什么时候可以向你借钱？,我想问下什么时候可以贷,1
开户怎么说我验证码失败,为什么我的邮储不了户,0
如何开通微粒贷,受邀,0
今天借500、明天还多少？,例如，借8500分10个月还，次月还多少,0
刚刚给我打电话没有接到,刚才没接到,1
怎么计算,比如我一个月还钱怎么利息怎么计算,1
10000借一年，利息多少？,1怎么计算,0
不能借钱应急啊？,一天内可以同时申请多笔借款吗,0
申请了。但是没接到电话,还没有接到你们电话了,1
为什么显示说身份信息输入多次错误？无法借款？我的身份证后四位并没有输入错误啊,怎么老是显示身份证输入错误啊,0
微信上的微粒货客服电话,客服电话是什么,1
哪里开通,开通不了微粒贷,0
开通w,+怎么开通,0
如果成功！一般几时到帐,多久开通一批名额,0
进去后显示无法借钱,为啥看到微粒贷图标审核又通不过？ 我个人信用没问题,0
9月份的钱是不是扣了,钱还了还能在贷吗,0
为什么我借款收不到手机验证除非用我的卡密码之后才能收到然后还是失败,支付密码是支付宝密码吗,0
什么时候那个钱到我帐,为什么审核这么久还没消息,0
催我还款那人电话多少,多少分钟才打电话过来认证？,0
你们的借款可以提现吗,借贷的钱，可以提现么？,1
什么时候可以开始发贷,什么时候可以借到钱，还贷怎么还？,0
如何成为受邀客户,如何成为邀请的客人,1
亲，这个电话确认时间有没有规定,你好！我提交了申请，要电话确认，请问要多长时间？,1
没到时间还清账单～利息怎么算,2万0.05%，那一天是多少利息？,0
1000元五期利息是多少,10个月多少利息,1
如何知道消费的渠道,如借1万元是一年到期还，还是分几个月还,0
未满足条件是什么原,审批条件,0
我想问一下微粒贷需要什么资格才能开通,人工客服,0
分期怎么分？,10000元申请5个月分期，但是到了第三个月我想把剩下的两个月都还掉可不可以,0
一万利息多少,一万一天利息是五块？,0
卡内余额够但是不能提前还款,如果今天提前还款还清，明天马上可以借了吗？,0
为什么还没有接到借款审核电话？,今天扣款没成功，我已经存好了，怎么没有再自动扣款？,0
还是原来的银行卡号，只是换了一下手机号就没有了,更改手机号,1
您好我今天还款怎么还没有扣啊,您好，我今天该还贷款，可是为啥还没自动扣除呢,1
微粒贷借不到钱啊,怎么借不了款,1
我之前已经借过一次了的，现在又想借怎么说我综合评估不通过了，怎么回事？,提高评估,0
如何提前还掉,如果不用了一次性还款怎么样还,1
2016什么时候能贷,你好！我什么时侯才有你们微粒贷这个功能,0
余额充足的为什么还款不成功,你好，今天还款日，我银行卡里面有足够金额，但为什么还款不成功？那我需要怎么做？,1
微粒贷图标不见了,为什么我的微粒贷不见了,1
我这么才能让自己达到审批要求,如何能达到审批要求,1
可以刷卡消费,我的还款期,0
微信咋绑定身份证号码,就是给你身份证号吗,0
我提前还款了。还可以贷款,5:如何题前还清,0
验证的手机号怎么更改,银行预留手机号不符,1
我提前还款了。还可以贷款,我提前还款了还可以再借吗,1
你好，怎么提额度,一般可以借多少钱啊！,0
app无法下载,下载后呢,0
为什么不可以提前还,一共有6笔借款，提前还清一笔借款额度怎么恢复？,0
综合评分未通过是什么意思？,这个怎么才能通过,0
1000元钱要多少利息？,10000每天还多少,0
不是三分钟到吗？咋还没有到,7的抢购怎么参与,0
亲，想问一下，如果我全额还了，需要的时候是不是可以在借了,一次性还完可以继续借吗,1
如何成为微粒贷,借款,0
不知道我是不是邀请的客人,为什么我的微信里没有微信贷功能,0
逾期三天要可以吗？,不就是之前逾期过吗,0
取消绑定,为什么我开通不了你们的微众号,0
广发,现在支持那些银行,1
等多久,人工服务,1
怎么操作,微众卡怎么用,1
为什么我借钱交易失败,开通 借款申请失败,1
一般银行什么时候打电话确认,不好意思，晚上来电没有听见。,0
"你好,今天微信登陆不上,怎么回事?",'怎么登不上,1
你们老板叫什么名字？,你们的老板是不是？,1
全额提前还清,你好我想问下微信钱包借钱后可以一次性提前还清吗,1
解绑,客服电话多少,0
怎么取消贷款,微粒贷被我关闭了,0
为什么我开通失败,我在还款时显示，你的证件类型不符，请确认证件类型和证件号输入正确……这是什么意思,0
为什么出现微粒贷却评估不通过？,为什么会有短信说审核不通过,1
多久可提升,多久才学提高额度,1
为毛没有,如何计算违约金,0
还款日几点扣款,最后还款日,0
晚上你们也会电话审核吗,你好，电话审核一般要多久,1
怎么样才能受到邀请,一般多久更新额度的,0
一次性提前还款要不要付利息的,不是，共十万，每月提前还一万，手续费怎么扣,1
问题是扣钱失败,不是最高可以贷二十万吗,0
未满足银行的审批要求 什么意思？,未通过审批是什么意思,1
什么情况，我没接到电话,为什么我接不到确认电话呢,1
我进入了银行卡，找不，借钱,为什么我没微粒贷功能,0
借款一万五个月，一个月提前还清，利息怎么算,、提前还款怎么办,0
如何借款,开通后会不会记息,0
怎么关掉,我要关闭,1
你好、我卡里面有钱的。,你好！我的卡上有钱为什么不扣啊,1
你好！如何更改还款银行卡,不想更改还款银行卡,0
可以申请借钱不,QQ不能开户吗,0
不满足借钱的要求什么意思,不满足银行审批要求,1
什么时候可以借到钱,什么时候可以第二次借款,0
微信被盗微粒贷安全吗？,微信借钱可以还信用卡吗,0
尼玛的为什么我没有额度,开通了没额度什么原因,1
如果我现在提前还清能再借款吗,我提前还清了是立即回复额度可以在贷吗,1
身份证号码不对,怎样添加身份证,0
3.怎么计算利息,微粒贷的利息是怎么计算的,1
多久会打来,什么时候审核电话会打来,0
可以开证明，证明已还款吗？,你好，我想问一下前两天要求寄一份结清证明过来，现在到哪了能查到吗！,0
如何借款,征信上怎么显,0
电话打过来无法接通呀,我想把这个上次的分期改为12期。可以吗？,0
多久会打来,12点以后再打，可以吗，现在不方便,0
我是苹果5的，可没借钱功能,我手机没有微粒贷页面,1
逾期一天会黑名单吗？,逾期一天也会收罚款吗,0
可以贷多久,提前还清可以再借吗,0
多久信誉额度才会有提升,多久才会提升金额,1
在我的财付通里面找不到微粒贷图标,我还款的原卡掉了，又补办。绑定了财付通可以从这张卡上扣扣不,0
你好，我的微粒贷己结清，现在要办一笔房贷，银行要求我提供结清证明和柜台流水，你们可以提供吗?,你好，怎么能开结清证明,0
qq微粒贷，怎么申请,开通微粒贷撒,1
能否回到，点击进去，看不到 额度,综合评审未过无法查看额度,1
免息卷,七天免息卷能用嘛,1
为何借不出来,为什么我借款不成功，几次了,1
你们利息是多少,微粒贷利息是几分,0
惜款失败,您好刚刚申请了借款，为什么会失败,1
什么时候能开放微信公众号借还款？,假如明天是还款日，下午存钱到代扣卡里可以吗？,0
是这样的，我这边征信查出来有一笔消费贷款，但是现在我已还清了，能否给我出一张结清证明,我需要结清证明,1
我要是就用一个月还了利息收多少,你好，  利息怎么算的？,1
2个小时还没有联系我呢？,一般几天会打电话给我,1
开通了 没有额度,咋邀请我,0
就是这个月没还钱，逾期罚多少,罚息是怎么样计算的？,1
提交申请，何时到账,为什么刚刚5点多提现的五千还没到帐,0
微贷额度,我现在的余额是多少,0
我昨天借的，但是又没用了，我今天可以还吗？,20号应还款～几号存钱合适？,0
打我电话没接到，刚在忙,未收到电话,0
审核电话,什么时间再次审核,0
20号还款,31号借款也是按照之前还款日5号还吗,0
怎么删除,电话没有接到来电提示,0
没有。等了好久了也没人联系我啊,但是还是没有给我打电话,1
为什么我的有微粒货，却不能借钱啊,为什么我的微粒贷有额度却贷不出来,0
提示为不满足审批要求,怎样才可以通过审批，,0
1:微粒贷的关闭,取消怎么弄,1
你好 我问下 这个借款我可以从银行卡里取出来么 还是职能用于消费,一直没有受到确认电话，如何取消借款？,0
为什么进入不了微粒,为什么我没微粒带,1
3未来电话审核怎么办？,一直手不到银行的确认电话是怎么回事？,1
20个月还清，能提前还吗,如果我这个月借了30000块，下个月全部还完，还要付分期的利息,0
如何还,现在是银行自动扣款中，我还能自己还款吗,0
原绑定卡丢失,如何重新绑定叧一张银行卡,1
你好怎么没有扣款成功,11.22日7.55还的钱怎么回扣款不成功,1
有不一样吗,如何用微信登录,0
他发的那段消息会让苹果手机的微信出现闪退、点不进去群里面，并且连手机都会出现重启情况，,不是苹果手机能有微粒代吗,0
银行卡绑定手机号更改了！为什么还是原来的手机号,为什么验证码发送到之前不用的手机号码,1
一进去就说不符合，你倒是给个说法！,上面显示无法满足,1
今天不好还款吗,现在不能部分还款吗,1
不是说15分钟到账吗？,我想问一下，不是同一天借的钱怎么还,0
什么时候可以开始发贷,何时能贷？,1
为什么我申请款下来了还有电话审核,为什么显示为通过银行审核借不了钱,0
扣款不够什么时候还扣,请问，借款时间是不是从借款当天算起，还款那天时间算不算利息，,0
如果我提前还款，还能再次贷款吗？,提前还款，是可以提前还一部分还是全部,0
上面显示无法满足,不满足,1
为啥钱包里还看不到啊,借的钱在哪提,0
为什么我用微信验证登录不了呢,2无法登录,1
你好，我刚才银行卡绑错了，可以改吗？,换卡什么还钱了,0
不能还款和借,为什么不能提前还清？一直还款失败,0
为啥显示无法借钱？,为什么我的钱包里面没有借钱这个功能,1
您好，借的钱什么时候到帐,我的贷款什么时候到期,0
你好，我还清贷款，能不能给我出具还清凭据,你好，我的借款还清了，可以给我一份还款凭证吗？,1
什么时候审核电话再打来,多久会打来,0
1:何时微粒贷可以申请吗,为什收不到微粒贷,0
我的微信里没有借钱,如何获取资格,0
可以提前还款吗？利息怎么算？,如何获得结清报告,0
关闭了微粒贷想重新起用,关微粒贷还能重新开启吗闭,0
绑定的手机号码能不能更改,我银行预留手机号已更改了，为什么还是显示最开始的预留手机号码？,0
借款后多久有电话确认,借款后多久能接到银行电话,1
还款日分几点扣款,"成功借款后,多久才算利息",0
身份信息怎么完善,邀请是由QQ安全中心发布吗？,0
未满足审批,我这么才能让自己达到审批要求,0
可以找你们开通微粒贷吗？,怎么才有微粒贷,1
我怎麼不能還款啊？,今天要还款怎么还不成,1
电话,微粒贷客服电话,1
为什么总是显示借款失败，用户信息不匹配？,开通 借款申请失败,1
为什么老是提示扣款不成功？我还款帐户上有足额的金额啊？,不能账户余额还款？,0
如果在你们这里借了款，要结清了，如何开结清证明？去哪里开？,你好，我想咨询下如何找你们开一张还款已经提前全部结清的证明，银行房贷需要用。,1
提前还清借款对我个人信用有影响吗,电话没来确认就一个信息说审核未过,0
0额度,一般能借多少,0
我想借10万周转,早就还清啦，怎么我的征信报告会有这种情况,0
却审核不通过,以前的审核没有通过，我想要求重新审核,0
会不会不安全,产品安全吗？,1
不是凌晨扣款吗，怎么还没扣款呢,上次借款绑定的银行卡丢失了，现在重新绑了新卡，下次还款怎么办,0
为什么今天不扣款？,为什么7月11号的还款不扣,1
姓名：均：身份证号,16岁身份证能贷款吗,0
你好，我想问一下。国华月月赢周末不是全员可买么？为什么没有啊？,国华,0
QQ上面没有微粒贷,在哪能找到微粒贷,0
我更换了银行卡号怎么还款,还款卡号变更如何继续还款？,1
为什么微粒贷，每个微信用户，额度都不一样呢，有的能贷八万多，有的就一千块钱,咋叫逐步开放,0
我在问一下，我没用之前额度会不会降低,授信额度不会降低吗,0
帮我关闭,关闭后再开通,1
安全中心,个人信息已填了怎么还没有微粒贷,0
我身份证后四位写错次数过多，不让输入怎么办,身份证号多次输入错误，多久可以再试,1
怎么绑定银行卡,绑定银行卡手机预留号码停用了,0
我的额度为何提不了了,有额度就能借款吗,0
15分钟没到账怎么办,1分钟到账，为何还没有信,0
为什么 我QQ里没有 需要满什么条件,我借那么久也没有提升啊,0
怎么用微业贷款,要再绑一张银行卡，怎么操作,0
上面说我为满足微信银行的审批要求,审批要求是哪些,0
结清凭证,结清证明，请尽快给我快递过来，急用，谢谢,0
借款可用于那些消费,你好！为什么我同学微信就微粒贷功能,0
不借了，不用打了，取消吧,不要了，你取消吧,1
你好，假如过几天就把钱还了，就只有这几天的利息吗,只要借借款2000 周期29天 利息多少,0
请问可以申请延期3天吗,请问，还款日到了，可以往后推迟几天吗？,1
客服电话,借款分5期还，如果我第一期就已经把总额还完了，之后还需要支付利息吗？,0
QQ上有个微粒贷，微信怎么没看到,QQ已经有了微粒贷，微信怎么不同步。,1
为什么我是未通过的,为什么会审核未通过,1
信息说22点前存钱进扣费 但是没有自动扣费,你好我的贷款今晚还没有到账，要明天上午十点前到账没问题吧？,0
如何看到还款明细,如何查询还款帐单,1
身份信息输入错误次数过多，借钱失败,次数过多错误不能借钱怎么办,1
不在钱包,一个月的名额有几个,0
不是说12月1日自动扣款吗，怎么还没扣钱,贷款不是要电话确认吗,0
给我关了微粒贷，谢谢,我关闭了微信粒贷现在怎么开启,0
你好 几天可以借到钱,你好，借款多长时间能到,1
QQ上有微粒贷，微信上没有微粒,在QQ上借了500，找不到还钱软件了,0
咋样才能优先得到系统邀请,咋搞不了,1
饿哦现在不能还款,现在不能主动还款吗？,1
没见,找不着,1
4 怎么记息,微粒贷还款利率是多少？,0
我换手机号码了 怎么换掉,我有两个电话号码 怎样更改号码呢？,1
微众可以转到不是绑定银行卡吗？,就是从活期转银行卡输入密码后可以转但从银行卡转活期就不行以前都可以的,0
为什么借款时总是重复输入密码跟验证码,密码密码密码密码密码密码密码密码密码密码密码密码密码,0
那为什么我借款失败呢,借款每次失败是什么问题,1
什么时候可以借款成功,什么时候可以确认是否借款成功？是否可以退借款？,1
为什么我没满足审批要求？,为什么不满足审批,1
你好，我的账户怎么会还款失败,中途可以全额还款吗,0
一般多久才打电话来的？,一般多久会打电话过来,1
我无法打开微众的APP,打不开微众的app,1
两万是分一年的还吗,为什么不能提前还每月的分期付款,0
提前还清还能再贷吗,怎么加,0
还款日后一天还款算逾期吗？,晚还款一天会造成逾期吗,1
微信钱包里怎么找不到微粒贷,你好！请教个问题，微众银行是QQ号或微信号登陆的，那如果QQ号和微信号被盗了，微众银行登不上去怎么办？,0
你好，我能把刚刚借款那个取消了？,不想借款了，可不可以取消啊,1
多次输入错误身份证号码，无法借款，如何解决？,身份信息输入错误次数过多，无法借款！这个什么意思？,1
关闭微粒贷后如何重新启用,我想恢复微粒贷，如何恢复正常了,1
身份信息输入错误是为什么,身份输入错误多是什么原因,0
你们转账有没有手续费,你好，资金从微银行转到工商银行需要手续费吗?,1
你好  怎么提升额度,你好 可以提高额度嘛,0
可以把还款日期延迟吗？,在还款日第二天将逾期部分还清可以吗,0
借款电话号变更,我手机更换了,1
借款后什么时候电话确认,申请借款后多久能等到确认电话,1
你好，我的银行卡被偷，换掉了。怎样更改还款银行卡,修改代扣银行卡,1
提交申请多长时间会打电话给我,审核电话要等多久,1
为什么提示我身份证号输入次数过多,我要借款，但是搞来搞去身份证那边没看清填了好几次，最后说身份证输入次数过多，这个要怎么解决？,1
不停跳密码和验证码没完没了,为什么我借钱输了十次验证码都不行的,0
电话没有接到。下次电话要等多久。,没人联系我,0
把微粒贷帮我关掉,直接关闭微粒贷,1
才借的钱好久到位哟,没钱呢,0
上午没有扣款成功,一直还款失败,1
可以申请更改还款日期吗,如何可以改还款日,1
21号的还款日，为什么扣款失败，显示余额不足,全额还款后可以即刻贷出来吗,0
20号还钱可以吗,借款后怎么还钱,0
能不能帮我关闭微粒贷,微粒贷能关闭吗,1
申请后。多久会打电话确认的？,多久可以打电话,1
申请借款后电话确认大概要多久才来电？,借款后为什么没有给我打电话确实啊,0
我的身份证信息错误,身份输入错误多是什么原因,0
一直都是等待电话通知,一直是电话等待,1
怎么样才能通过审批,微众银行   审批要求,0
一个月之内还一共利息是多少钱 我借五千,好的，谢谢 要是用了10天是不是就算10天的利息？,1
为什么定期存款页面不见？我现在有点害怕,定期存款限额,0
如何关闭微粒袋,我想关闭这个功能,1
本来还款的帐号更改了怎么办,我卡片掉了，我做了卡号变更，老不显示新卡号，今天最后还款期，怎么办,0
为什么到现在了还是没有收到任何消息,为什么平时不给我发消息,0
不符合微众银行审批条件,不能借款是什么问题？,1
很久了都不给提额,强烈提额,0
已申请未到账,它是把钱打到哪里呢,0
一次性还清 可以继续借贷吗,一次性能还完吗？,0
刚才有事，现在可打电话,可以不让客服打电话进来吗,0
如果开通？,如何才能开通这个,1
为什么没满足微众银行审批,未满足审批怎么回事,1
请问如果开通微粒贷,你不打算给我开通了是吧,0
我想撤消？,帮我注消,1
电话确认需要多久,打过来吧,0
想问一下我怎么能贷款,推广阶段有要求吗,0
快点发红包吧。不然我删除你这个公众号。,还什么时候能抢到红包？,1
不满足审批要求,为什么我借贷没有成功？还可以下次再借吗？,0
我逾期了一天我该怎么还款,你好，我逾期了一天还会不会对我的信誉有影响？？因为昨天刷的卡未到帐，工作日都放假，我今天去存,0
如果我借款厚分十期，但是还没到时间我就可以把本金还完，那还需要付利息吗？,银行几点扣钱,0
我第一次可以借，并且按时还款，为什么现在还有额度，却提示不能借款,我都是按时或提钱还款的，为什么我现在不能用了,0
我的身份证最后一位是x请问该大写还是小写呢,不是认证失败,0
1:微粒贷的关闭,取消自动,1
如何记息,利息怎么不调整,0
借款 额度,为什么我审核木有通过？,0
我电话变更,财付通上手机号码怎么更改,1
人品值是什么,个人信用如何评估？,0
我不需要微粒贷,进入银行卡没有借款的提示。,0
那如何取消呢,取消微粒贷功能,1
定期存款怎么提前支取,4#不开户就看不到定期存款，我感觉体验不好,0
为什么我的手机没有微粒贷？,为什么我不能开通微粒贷,0
请问，为什么我登录总是显示  出错了,活期+的利润计算错误，已有几次了，为什么？,0
电话核实需要多久？,审核电话,1
什么时候可以借？,一个月能借几次,0
微粒贷借款不能用于干嘛,借贷用途,1
我什么时候可以继续借款,还款期间可再次借款吗,0
借款后多久打电话回访？,借款后多久会接到电话确认电话？,1
个个都可以用，我不可,…我想问如果获得微粒贷,0
app端口登录不上，怎么回事？,为什么现在登录不了,1
15分钟前借的款还无来电话,不能通过要多长才能申请,0
亲，利息什么时候支付呢,借款利息怎么收取，还款时间多长,0
我没有获得银行审批,为什么没满足微众银行审批,1
怎么我微信还没有微粒贷呀,什么时候开放,0
开通w,开通一下微粒贷,1
为什么有图标但没有额度呢？,为什么俺没额度。？,1
代金券,我的联系方式，电话,0
换手机号码,怎么更换手机号,1
交易成功后金额多少时间到,多久到卡里,1
您好，我没有接到你们的电话,未接到电话,1
多久会收到客服电话,申请借款后还要等待银行电话确认？,0
借款可用于买房吗,借款能不能用來转账,0
为什么会借款失败,再次借款失败,1
为什么我最后确认借钱那里总是显示我输入错误次数太多借款失败？,为什么说我的身份信息错误多次不能借款呢 我第一次用啊,0
软件支持什么银行,我是建设银行啊,1
可以手动还款吗？,日利率太高，是否可以申请折扣，支付宝给我才日万3,0
最高才17000,怎么最多2000元,1
我上午你们电话打过来我没接到,就是早上九点多的时候打过来一次确认电话，但是我没有接到,1
还款后额度如何恢复,我现在还有两千多没还完，如果我提前还款，我的额度会恢复吗,1
如何计算利息,10000块每天利息是多少,0
为何提现不了,我是今天借的款，明天后天就可以归还可以麽？,0
不能更改电话号码嘛？,怎么修改绑定的电话号码,1
还款后什么时候可以借款,贷款还清后可以马上又贷吗,1
我的借款申请为什么不成功,为什么信息显示借款失败？,1
为什么我没显示微粒贷,为什么我的微信没显示有微粒贷,1
工商银行借钱,信用卡信用不好能贷款吗？,0
也没有看到无法登录的按钮,你好，登录不上呢,1
我今天到期，明天还上呢,什么时候能开放微信公众号借还款？,0
怎么无法查看额度啊,看不到借款额度,1
你们的合同可以给我一份嘛,借款合同,1
微粒贷  这么才能有啊,微粒贷如何申请,0
不是说有种免息的优惠卷吗,"7,如何获得优惠券",0
贷还,什么时间段可以借钱,0
微粒贷借款失败原因,再次借款失败,1
如何能快速成为你们受邀的客户,如何成为你们的邀请客人,1
什么时候可以借钱贷款？,什么时候可以成为微粒贷款,0
三分到帐，怎么还没到,三分钟怎么还没到账啊,1
多长时间可以到绑定的银行卡,我想咨询什么时间可以开通微粒贷,0
不能登录,都是没用的，要咋打开，光闪退,0
修改代扣银行卡,换卡业务,1
微粒贷支持什么手机系统,用电脑登录可以找得到微粒贷吗,0
什么时候对用户开通,为什么没打来,0
到帐很快,借到的款可以提取成现金吗,0
你们电话确认要多久？,你们的回访电话什么时候打过来,1
怎么我的齐鲁设有显示了，求解释,齐鲁稳固21有保障吗？,0
你好 请问我贷款700利息是多少,当天借钱，当天还需要手续费吗？,0
为何没我资格,我借到没,0
为什么邮储银行的银行卡邦不上呢,贷款 信用卡,0
怎么换手机号码,你好，我借款的验证码发到我以前用的那个手机号码了，我该怎么设置呢,1
办微粒货借钱要申请,为什么第一次可以借，第二次就不能借,0
借10000元，20个月还，利息多少？,16000元，5个月还，每期还多少,1
我不知道为什么借款失败了,为什么我贷款不成功啊,1
为什么我首次借款，不成功,为什么借款不成功？,1
怎么我这里没看见有微粒贷呢？,我朋友为什么有微粒贷，我们还没呢,1
为什么我未通过呢？,为什么还款及时会提示综合评估未通过,1
为什么用微粒贷验证码发到原来手机上呢,你好！我在银行保留的电话号码已更换，为何你们系统发验证码仍然发原来号码,1
怎样改还款银行,怎么更改还款银行号,1
怎么样才能够把额度调高,为什么别人的都出额度了,0
什么时间给我打电话啊,一般多长时间打电话来审核,1
什么时候可以联络上 客服,还等,1
剩下的钱提前还清后，是不是立刻就能再借贷了,提前还款后   还可以再次贷款吗？,1
你好 我需要结清证明的原件邮寄,如何证明贷款已还清,0
出具借款还清证明,可以一个月还清吗,0
周末怎么不能国华月月盈？,国华天天利怎么一下就没有了,0
如何退款,不好意思，不用借了,0
怎么关闭借贷,我想关闭微粒贷,1
借贷结清证明,是不是银行卡里有就可以还清呢！以后不会有跟尾吗？,0
换手机也是一个,手机号码已改，为什么显示的还是之前的号码？,0
一般多少分钟后打电话来,凌晨有电话吗,1
1.看不见微粒贷图标,什么时候能获取资格,0
qq里面没有,QQ升级后。怎么找不到微粒贷了,0
为什么我没看见微粒贷,QQ钱包怎么进入？,0
微粒贷因为注销了支付现在没有可以重新开通吗,微粒贷提前结清后是否可以再次使用,0
不能用是怎么回事,1何吋会邀请我成为微粒客户,0
刚才电话没听见,你好，刚在忙没接到电话,1
怎么我这里没看见有微粒贷呢？,为何我微信没微粒贷呢,1
活期+转出限额,请问微众卡转出有额度限制吗,1
我的钱为什么借不出来了,为什么我有7000额度，但借款不成功,0
怎么进行身份证认证,微粒贷需要实名拍张认证吗,1
为什么我没被选中,我上午申请了，但是到现在还没有回复,0
换卡不了怎么回事,换卡后如何还款,0
为撒绑失败了,问什么我绑定卡老是失败,1
为什么会说我那不符合呀,为什么微粒贷突然显示综合评估未通过？今天我还借过钱了,0
开通 如何开通,强烈要求提额,0
微粒贷图标消失了,为什么我的微粒贷消失了,1
到帐需要多少个工作日,问题是你们是自己没扣款,0
以前有微粒贷的现在没见了,请问一下我钱包里的微粒贷入口怎么不见了？,1
5如果提升额度，,这个额度是根据什么来确定的,0
怎么我没这个功能,我想看效果,0
为什么别人有我没有？,为什么我没有微机粒贷,0
借款没回复,如何使用才可以提额,0
全部还款后可以重新贷款么,全部还款完事可以接着贷款吗,1
这个号码的微信可以申请,使伸请,1
什么时候到账呀 还没到账呢 人工电话多少,17点之后存钱呢,0
银行,我的银行,1
微众银行APP上可以借贷吗,微信号如何绑定微众银行app,0
1号申请的，怎么到现在还没有确认电话,(等待电话确认)，要等多久？,0
6000的日利息,1000元，十个月还清多少利息,0
还款日可否调整。,能否将本月还款日期推迟到30号？,1
不能操作还款,今天借，用5天可以全额还款吗？,0
如借3500元，逾期一天是多少利息,可延迟几天还款,0
没有微粒货可以申请吗？,没有微粒贷邀请可以吗？,1
怎么通过审批要求,那怎么才可以获得审批,0
密码输错次多久才能操作,是的我是按我支付密码输入的,0
产品会不会不安全,会不会不安全,1
怎么取消借钱,我如果现在不借了在么取消了,1
怎么办不了业务呀,何等条件,0
何时才能借贷,借款一个账号只能借一次吗,0
微众的app有时候登录不上去,手机系统更新后微众app无法登陆,1
其他银行卡手动还款操作,申请其他银行卡还款,1
什么时候可以开通贷款功能。,我这个微信什么时候可以贷款,1
安卓手机没有吗,安卓用户不行么,1
为什么我未满足微众银行审批,显示我未满足微众银行审批是什么情况,1
不满足贷款要求,不满足借钱的要求什么意思,1
不可以微信钱包还？,你好 我可以用微信余额还款吗,1
客服电话是什么,你们客服电话号码是多少？,1
客服电话号码多少,不打电话确认可以吗,0
为什么我评估不通过？需要什么样的条件呢,为何之前可以借款，最近不能借款了，还款很及时啊,0
可以更改还款日么,如果到还款日期凌晨没钱扣款怎么办？,0
还没打来/发怒,节假日到帐时间,0
"""借款失败""了解",1借钱失败,1
找不到还款记录,我还款记录良好希望可以提额,0
微信钱包木有显示微粒贷款啊,很多人都有了，我的怎么没有,1
为什么我不能还款,为什么我不能提前还款,0
你好 我试过好几次都没能开户成功,不能开户,1
能不能推迟还款一天,逾期一天会记录吗,0
什么时候可以开始借款,还款后需要多久才能进行第二次贷款,0
审核电话,什么呀,0
什么是罚息,你好！逾期罚息金额是按总借款计算还是按本期应还金额计算？,0
我现在要手动还款，显示因银行系统升级无法还款,为什么我之前可以借款，现在不可以了？我一直是按时还款的,0
借款没成功前，可取消借款吗,自己取消借款有影响信用么？,0
人工服务,还没到账,0
输入验证码后空白,为什么借款输入手机验证码就突然没了,1
如何关闭微粒货,点错了，不用借钱，怎么关闭呢,1
5分钟前借款，多久能到帐,一万块钱的借款什么时候可以到长,1
电话审核时间,审核电话,1
怎么开能,zxm4306微信号开通,1
QQ没有资金:理财呀,QQ上怎么没有微粒贷,1
/:|-)还没开通,没看到手动还款功能,0
你好，我怎么看不到额度,为什么这么久额度没有提升,0
电话错过了,我电话错过了,1
